Date;Coin;Link
2021-12-14;DOGE;https://twitter.com/elonmusk/status/1470703708677840896
2021-10-31;DOGE;https://twitter.com/elonmusk/status/1454876031232380928
2021-10-21;BTC;https://twitter.com/elonmusk/status/1451015695106560000
2021-10-04;SHIBA;https://twitter.com/elonmusk/status/1444840184500129797
2021-09-13;SHIBA;https://twitter.com/elonmusk/status/1437179881260032016
2021-07-25;DOGE;https://twitter.com/elonmusk/status/1419151233739378689
2021-07-02;DOGE;https://twitter.com/elonmusk/status/1410951450604175366
2021-12-01;DOGE;https://twitter.com/elonmusk/status/1410529698497630212
2021-12-01;DOGE;https://twitter.com/elonmusk/status/1410519466518233089
2021-12-14;SHIBA / FLOKI;https://twitter.com/elonmusk/status/1408380216653844480
2021-06-25;BTC;https://twitter.com/elonmusk/status/1408246196603346947
2021-06-25;BTC;https://twitter.com/elonmusk/status/1408246534093918210
2021-06-04;BTC;https://twitter.com/elonmusk/status/1400620080090730501
2021-06-02;DOGE;https://twitter.com/elonmusk/status/1399985389725753346
2021-05-24;DOGE;https://twitter.com/elonmusk/status/1396916392629137409
2021-05-24;BTC;https://twitter.com/elonmusk/status/1396914548167233537
2021-05-20;DOGE;https://twitter.com/elonmusk/status/1395328697436033032
2021-05-14;DOGE;https://twitter.com/elonmusk/status/1392974251011895300
2021-05-14;FOSIL;https://twitter.com/elonmusk/status/1392950720979030019
2021-05-13;TSLA BTC;https://twitter.com/elonmusk/status/1392602041025843203
2021-05-11;DOGE;https://twitter.com/elonmusk/status/1392030108274159619
2021-05-10;DOGE;https://twitter.com/elonmusk/status/1391523807148527620
2021-05-07;DOGE;https://twitter.com/elonmusk/status/1390522866979033092
2021-04-28;DOGE;https://twitter.com/elonmusk/status/1387290679794089986
2021-04-16;DOGE;https://twitter.com/elonmusk/status/1284291528328790016
2021-04-15;DOGE;https://twitter.com/elonmusk/status/1382552587099062272
2021-04-09;DOGE;https://twitter.com/elonmusk/status/1380423408542904326
2021-03-24;BTC;https://twitter.com/elonmusk/status/1374617643446063105
2021-03-14;SHIBA;https://twitter.com/elonmusk/status/1370946514974031872
2021-03-14;DOGE;https://twitter.com/elonmusk/status/1370882536101056523
2021-03-12;BTC;https://twitter.com/elonmusk/status/1370449101402353669
2021-03-06;DOGE;https://twitter.com/elonmusk/status/1368058884837928970
2021-03-01;DOGE;https://twitter.com/elonmusk/status/1366477626429169666
2021-02-24;DOGE;https://twitter.com/elonmusk/status/1364560733472579591
2021-02-21;DOGE;https://twitter.com/elonmusk/status/1363601164344823810
2021-02-15;DOGE;https://twitter.com/elonmusk/status/1361094185412100096
2021-02-11;DOGE;https://twitter.com/elonmusk/status/1359791422711492608
2021-02-10;DOGE;https://twitter.com/elonmusk/status/1359519541219500033
2021-02-08;DOGE;https://twitter.com/elonmusk/status/1358584801003884544
2021-02-06;DOGE;https://twitter.com/elonmusk/status/1357914696645414913
2021-02-04;DOGE;https://twitter.com/elonmusk/status/1357244295091208193
2021-01-29;DOGE;https://twitter.com/elonmusk/status/1354924057825837060
2020-12-25;DOGE;https://twitter.com/elonmusk/status/1342512194383007745